cueX,cueZ,aimDz,speed,a,b,trials,legal,gold
0.15000,0.50000,0.00000,14.000,-0.00857,-0.00857,50,35,2
0.15000,0.50000,0.00000,14.000,-0.00857,0.00000,50,25,0
0.15000,0.50000,0.00000,14.000,-0.00857,0.00857,50,27,0
0.15000,0.50000,0.00000,14.000,0.00000,-0.00857,50,32,1
0.15000,0.50000,0.00000,14.000,0.00000,0.00000,50,27,0
0.15000,0.50000,0.00000,14.000,0.00000,0.00857,50,33,0
0.15000,0.50000,0.00000,14.000,0.00857,-0.00857,50,38,0
0.15000,0.50000,0.00000,14.000,0.00857,0.00000,50,24,0
0.15000,0.50000,0.00000,14.000,0.00857,0.00857,50,30,0
0.15000,0.50000,0.00857,8.000,-0.00857,-0.00857,50,33,1
0.15000,0.50000,0.00857,8.000,-0.00857,0.00000,50,37,1
0.15000,0.50000,0.00857,8.000,-0.00857,0.00857,50,28,0
0.15000,0.50000,0.00857,8.000,0.00000,-0.00857,50,47,1
0.15000,0.50000,0.00857,8.000,0.00000,0.00000,50,49,1
0.15000,0.50000,0.00857,8.000,0.00000,0.00857,50,48,0
0.15000,0.50000,0.00857,8.000,0.00857,-0.00857,50,42,0
0.15000,0.50000,0.00857,8.000,0.00857,0.00000,50,42,0
0.15000,0.50000,0.00857,8.000,0.00857,0.00857,50,45,0
0.15000,0.50000,0.00857,11.000,-0.00857,-0.00857,50,26,0
0.15000,0.50000,0.00857,11.000,-0.00857,0.00000,50,27,0
0.15000,0.50000,0.00857,11.000,-0.00857,0.00857,50,28,1
0.15000,0.50000,0.00857,11.000,0.00000,-0.00857,50,42,2
0.15000,0.50000,0.00857,11.000,0.00000,0.00000,50,41,0
0.15000,0.50000,0.00857,11.000,0.00000,0.00857,50,42,0
0.15000,0.50000,0.00857,11.000,0.00857,-0.00857,50,40,0
0.15000,0.50000,0.00857,11.000,0.00857,0.00000,50,39,0
0.15000,0.50000,0.00857,11.000,0.00857,0.00857,50,41,1
0.15000,0.50000,0.00857,14.000,-0.00857,-0.00857,50,27,0
0.15000,0.50000,0.00857,14.000,-0.00857,0.00000,50,27,1
0.15000,0.50000,0.00857,14.000,-0.00857,0.00857,50,23,2
0.15000,0.50000,0.00857,14.000,0.00000,-0.00857,50,33,0
0.15000,0.50000,0.00857,14.000,0.00000,0.00000,50,26,3
0.15000,0.50000,0.00857,14.000,0.00000,0.00857,50,33,0
0.15000,0.50000,0.00857,14.000,0.00857,-0.00857,50,35,0
0.15000,0.50000,0.00857,14.000,0.00857,0.00000,50,30,2
0.15000,0.50000,0.00857,14.000,0.00857,0.00857,50,40,0
0.15000,0.50000,0.01715,8.000,-0.00857,-0.00857,50,28,1
0.15000,0.50000,0.01715,8.000,-0.00857,0.00000,50,27,0
0.15000,0.50000,0.01715,8.000,-0.00857,0.00857,50,27,0
0.15000,0.50000,0.01715,8.000,0.00000,-0.00857,50,44,0
0.15000,0.50000,0.01715,8.000,0.00000,0.00000,50,46,1
0.15000,0.50000,0.01715,8.000,0.00000,0.00857,50,46,2
0.15000,0.50000,0.01715,8.000,0.00857,-0.00857,50,43,1
0.15000,0.50000,0.01715,8.000,0.00857,0.00000,50,42,0
0.15000,0.50000,0.01715,8.000,0.00857,0.00857,50,45,0
0.15000,0.50000,0.01715,11.000,-0.00857,-0.00857,50,19,1
0.15000,0.50000,0.01715,11.000,-0.00857,0.00000,50,21,1
0.15000,0.50000,0.01715,11.000,-0.00857,0.00857,50,30,0
0.15000,0.50000,0.01715,11.000,0.00000,-0.00857,50,36,1
0.15000,0.50000,0.01715,11.000,0.00000,0.00000,50,35,0
0.15000,0.50000,0.01715,11.000,0.00000,0.00857,50,42,1
0.15000,0.50000,0.01715,11.000,0.00857,-0.00857,50,39,2
0.15000,0.50000,0.01715,11.000,0.00857,0.00000,50,38,0
0.15000,0.50000,0.01715,11.000,0.00857,0.00857,50,42,0
